0	61
1	41,78,95
2	50,71,94
3	63
4	3,43,89
5	0
6	16,46,53
7	31
8	32
9	7
10	71,84,89
11	37
12	15
13	44
14	92
15	38
16	3
17	13,54,74
18	36,67,82
19	26,45,47
20	69
21	3,34,91
22	72
23	97
24	9,79,83
25	1
26	49,75,96
27	42,67,96
28	6,45,78
29	22,66,88
30	5
31	45
32	11
33	85
34	41,60,90
35	12,21,48
36	68,82,89
37	55
38	17
39	51
40	18,79,94
41	96
42	76
43	26,46,77
44	9,19,96
45	28
46	39
47	40
48	98
49	48
50	58
51	12,59,62
52	80
53	10,18,52
54	70
55	24
56	34
57	23
58	47
59	64
60	2
61	58,93,95
62	49
63	5,13,74
64	21
65	5,67,71
66	42,52,54
67	25
68	45,50,86
69	79
70	57
71	93
72	14,74,88
73	29
74	63,66,80
75	8,37,79
76	77
77	89
78	4
79	30,47,72
80	12,42,82
81	52
82	65
83	27,34,36
84	2,77,99
85	87
86	41,52,94
87	23,60,90
88	50
89	3,8,81
90	3,56,61
91	6
92	88
93	73
94	20
95	9,62,76
96	45,62,80
97	16
98	33
99
